frame,channel,SDR_mix,SDR_est,SDR_imp,process,fft.len,fft.hop,fft.win,bss.demix_update,bss.source_model,bss.n_iter,bss.ref_mic,bss.f_limit,bss.rot,bss.forget,bss.cov_scale,bss.cov_norm
48,1,-3.6383794754649923,11.510127132289663,15.148506607754655,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
49,1,-11.224337691679779,2.2923491879451423,13.51668687962492,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
50,1,-5.890326325483489,10.612521495018527,16.502847820502016,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
51,1,-5.606378291740657,1.901372722358543,7.5077510140992,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
52,1,-14.819507187361602,8.24157106922262,23.06107825658422,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
53,1,-6.188121337583116,6.711744539750816,12.899865877333932,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
54,1,-4.2800415263771825,11.74213120930081,16.02217273567799,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
55,1,-0.0899081260393832,10.916484012811313,11.006392138850696,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
56,1,-7.947967878016632,7.618191503037552,15.566159381054185,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
57,1,-15.139006282447568,3.1493688614266153,18.288375143874184,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
58,1,-5.567761069973734,10.889710776901147,16.45747184687488,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
59,1,-7.028616335059779,4.603728351728149,11.632344686787928,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
0,2,-7.564621771790603,-8.241126218898726,-0.6765044471081234,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
1,2,-7.917172969650885,-13.473369506152174,-5.5561965365012895,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
2,2,-7.230213899360308,-11.78409290165964,-4.5538790022993325,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
3,2,-8.374438641172658,-13.77900979706386,-5.404571155891203,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
4,2,-15.929722980238765,-21.717686021616238,-5.787963041377473,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
5,2,-5.879712074085894,0.4210532224817876,6.300765296567682,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
6,2,-11.219643430619888,-5.015714566128717,6.2039288644911705,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
7,2,-16.45559369090732,-7.436475795962147,9.019117894945175,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
8,2,-6.032702058786617,-5.001338642531302,1.0313634162553154,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
9,2,-13.781159163792063,0.24812780349635266,14.029286967288416,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
10,2,-7.792648244630559,7.738795673071225,15.531443917701784,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
11,2,-11.32587625592096,3.2447246119072704,14.57060086782823,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
12,2,-17.535945228324767,-2.6057838116934584,14.930161416631309,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
13,2,-7.2095440167707,6.761372880243,13.9709168970137,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
14,2,-9.380550719486875,8.652695106301477,18.033245825788352,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
15,2,-14.330421379295277,7.6679292535686,21.998350632863875,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
16,2,-9.58394035818473,11.515358519015313,21.09929887720004,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
17,2,-10.841272819622978,7.190756742265506,18.032029561888486,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
18,2,-10.278795579280445,5.584471082033495,15.86326666131394,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
19,2,-6.976688445755741,5.563702148969485,12.540390594725226,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
20,2,-4.030878682101813,5.253802633779716,9.284681315881528,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
21,2,-8.377540256764323,2.2930840470650313,10.670624303829355,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
22,2,-11.412717390060914,4.389096577252278,15.801813967313192,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
23,2,-9.082786649826215,3.180952105761692,12.263738755587907,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
24,2,-6.606921203405054,1.9279365079965458,8.5348577114016,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
25,2,-8.780585810026016,1.2917191200419778,10.072304930067993,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
26,2,-6.772508201502453,2.992931693415178,9.76543989491763,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
27,2,-7.6072860848861374,-3.553646945513644,4.0536391393724935,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
28,2,-11.061307197580618,0.5891530620411557,11.650460259621774,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
29,2,-6.147564922994161,5.843539971223059,11.99110489421722,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
30,2,-10.569248652537906,-12.206682968919829,-1.6374343163819223,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
31,2,-0.8613484979785778,1.0461815319875778,1.9075300299661557,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
32,2,-10.597009097796882,-7.695334735065939,2.901674362730943,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
33,2,-3.5561603582719243,-3.021351316435068,0.5348090418368563,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
34,2,-8.186152657294288,-6.762642777884,1.4235098794102878,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
35,2,-6.137668040082649,-5.974840228831029,0.16282781125161971,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
36,2,-11.441963207343724,-7.686412949760122,3.755550257583602,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
37,2,-10.07214947865439,3.597052113289249,13.66920159194364,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
38,2,-6.789343017232787,2.8933654929414416,9.68270851017423,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
39,2,-8.572642525176605,-3.9026057936209164,4.6700367315556885,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
40,2,-7.302746325424901,1.5767457848857411,8.879492110310643,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
41,2,-9.393791438780072,2.039822090225483,11.433613529005555,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
42,2,-7.123945444164996,3.476291330787542,10.600236774952538,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
43,2,-14.454842758507718,2.4495480728949866,16.904390831402704,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
44,2,-6.1692925819034965,2.528993103045715,8.698285684949212,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
45,2,-2.3950325666275223,5.52137615359298,7.9164087202205025,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
46,2,-4.6918514767188455,6.93577170860785,11.627623185326694,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
47,2,-7.951347293049334,0.6097623110893713,8.561109604138705,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
48,2,-10.784057379481784,-0.21408928697543186,10.569968092506352,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
49,2,-6.819257916022899,-3.9841255500169055,2.8351323660059933,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
50,2,-6.132255653322397,5.9844035537447935,12.11665920706719,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
51,2,-1.4058906748442326,9.017158761703385,10.423049436547618,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
52,2,-1.4072094618651343,8.926314114245546,10.33352357611068,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
53,2,-6.772956173121523,9.100209930554112,15.873166103675635,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
54,2,-3.9446763566582788,5.883744714026244,9.828421070684524,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
55,2,-7.905566179005032,0.5529722616549031,8.458538440659934,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
56,2,-8.052973057596247,-2.619657383083781,5.433315674512467,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
57,2,-0.3203982995074309,6.6591861174040945,6.979584416911526,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
58,2,-1.151624651838688,9.485951707020085,10.637576358858773,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
59,2,-3.090904585452102,8.9907584628759,12.081663048328004,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
0,3,-4.52095362102644,-8.349605202961753,-3.828651581935313,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
1,3,-4.873256168997942,-4.86102665065558,0.012229518342362411,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
2,3,-7.5387517389923016,-14.058612042081487,-6.519860303089185,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
3,3,-5.476286611730807,-22.602779631205912,-17.126493019475106,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
4,3,-9.221074493212342,-4.83512978540504,4.385944707807302,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
5,3,-13.342632112314517,-5.306665136473015,8.035966975841502,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
