process,bss.demix_update,bss.source_model,bss.forget,bss.n_iter,bss.f_limit,mixdir_name,SDR_mix,SDR_est,SDR_imp
online,IP1,Gauss,0.995,2,500,int,-0.5588510423030962,-0.0724022725532059,0.4864487697498903
online,IP1,Gauss,0.995,2,500,rot-mix,-0.5588510423030962,-0.25735369921615187,0.3014973430869445
online,IP1,Gauss,0.995,2,1000,int,-0.5588510423030962,2.7463055433431465,3.3051565856462433
online,IP1,Gauss,0.995,2,1000,rot-mix,-0.5588510423030962,-1.1890860253895197,-0.6302349830864236
online,IP1,Gauss,0.995,2,2000,int,-0.5588510423030962,8.950180585745718,9.509031628048813
online,IP1,Gauss,0.995,2,2000,rot-mix,-0.5588510423030962,-0.2758954315493585,0.2829556107537377
online,IP1,Gauss,0.995,2,4000,int,-0.5588510423030962,9.756911820715763,10.31576286301886
online,IP1,Gauss,0.995,2,4000,rot-mix,-0.5588510423030962,1.701776484555118,2.2606275268582143
online,IP1,Gauss,0.995,2,8000,int,-0.5588510423030962,7.575826826571379,8.134677868874475
online,IP1,Gauss,0.995,2,8000,rot-mix,-0.5588510423030962,-2.0747417441641014,-1.515890701861005
online,IP1,Gauss,0.995,5,500,int,-0.5588510423030962,-10.451353710054327,-9.89250266775123
online,IP1,Gauss,0.995,5,500,rot-mix,-0.5588510423030962,-10.123886755048986,-9.565035712745889
online,IP1,Gauss,0.995,5,1000,int,-0.5588510423030962,-3.9732645773783886,-3.414413535075292
online,IP1,Gauss,0.995,5,1000,rot-mix,-0.5588510423030962,-2.6453196362789964,-2.0864685939759
online,IP1,Gauss,0.995,5,2000,int,-0.5588510423030962,7.582362799715468,8.141213842018564
online,IP1,Gauss,0.995,5,2000,rot-mix,-0.5588510423030962,0.6497487807851355,1.2085998230882318
online,IP1,Gauss,0.995,5,4000,int,-0.5588510423030962,8.15791737969337,8.716768421996466
online,IP1,Gauss,0.995,5,4000,rot-mix,-0.5588510423030962,0.004159507978339188,0.5630105502814354
online,IP1,Gauss,0.995,5,8000,int,-0.5588510423030962,6.732622532476388,7.291473574779484
online,IP1,Gauss,0.995,5,8000,rot-mix,-0.5588510423030962,-2.750064514150554,-2.191213471847458
online,IP1,Gauss,0.9995,2,500,int,-0.5588510423030962,-6.226899071330972,-5.668048029027875
online,IP1,Gauss,0.9995,2,500,rot-mix,-0.5588510423030962,-7.333783170191257,-6.77493212788816
online,IP1,Gauss,0.9995,2,1000,int,-0.5588510423030962,-6.574908769172125,-6.016057726869029
online,IP1,Gauss,0.9995,2,1000,rot-mix,-0.5588510423030962,-7.902999533047393,-7.344148490744298
online,IP1,Gauss,0.9995,2,2000,int,-0.5588510423030962,-8.216387016823402,-7.6575359745203055
online,IP1,Gauss,0.9995,2,2000,rot-mix,-0.5588510423030962,-9.12389961498945,-8.565048572686353
online,IP1,Gauss,0.9995,2,4000,int,-0.5588510423030962,-8.024170081939069,-7.465319039635972
online,IP1,Gauss,0.9995,2,4000,rot-mix,-0.5588510423030962,-8.818401382267876,-8.259550339964779
online,IP1,Gauss,0.9995,2,8000,int,-0.5588510423030962,-8.188012218339647,-7.6291611760365505
online,IP1,Gauss,0.9995,2,8000,rot-mix,-0.5588510423030962,-8.592101293581367,-8.03325025127827
online,IP1,Gauss,0.9995,5,500,int,-0.5588510423030962,-7.349302138258363,-6.790451095955268
online,IP1,Gauss,0.9995,5,500,rot-mix,-0.5588510423030962,-8.37958705953941,-7.820736017236314
online,IP1,Gauss,0.9995,5,1000,int,-0.5588510423030962,-6.114858156167518,-5.556007113864421
online,IP1,Gauss,0.9995,5,1000,rot-mix,-0.5588510423030962,-8.033493363848057,-7.474642321544961
online,IP1,Gauss,0.9995,5,2000,int,-0.5588510423030962,-7.072232117357648,-6.513381075054551
online,IP1,Gauss,0.9995,5,2000,rot-mix,-0.5588510423030962,-8.612942796544678,-8.05409175424158
online,IP1,Gauss,0.9995,5,4000,int,-0.5588510423030962,-8.206354497014795,-7.647503454711698
online,IP1,Gauss,0.9995,5,4000,rot-mix,-0.5588510423030962,-9.22504961643719,-8.666198574134093
online,IP1,Gauss,0.9995,5,8000,int,-0.5588510423030962,-8.06904965598797,-7.510198613684873
online,IP1,Gauss,0.9995,5,8000,rot-mix,-0.5588510423030962,-9.180767333754332,-8.621916291451235
online,IP1,Laplace,0.97,2,500,int,-0.5588510423030962,-4.976833381404949,-4.417982339101853
online,IP1,Laplace,0.97,2,500,rot-mix,-0.5588510423030962,-5.841122180013987,-5.282271137710891
online,IP1,Laplace,0.97,2,1000,int,-0.5588510423030962,-5.804969933813954,-5.246118891510858
