frame,channel,SDR_mix,SDR_est,SDR_imp,process,fft.len,fft.hop,fft.win,bss.demix_update,bss.source_model,bss.n_iter,bss.ref_mic,bss.f_limit,bss.rot,bss.forget,mixdir_name
10,4,-1.9272859602654877,-8.344025553622911,-6.416739593357423,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
11,4,2.169958956889114,5.45462661321236,3.284667656323246,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
12,4,-7.138801165798306,-3.697501214770291,3.441299951028015,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
13,4,-5.981319942503908,-2.5978855437544124,3.3834343987494955,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
14,4,-4.5232592455731,0.7096569976349909,5.232916243208091,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
15,4,-2.0316631431529633,0.9506556873092541,2.9823188304622175,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
16,4,-8.333540757281114,-0.8114861650683933,7.52205459221272,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
17,4,-9.499976689697187,-7.216093209198785,2.2838834804984014,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
18,4,-1.8101436624283918,4.4756568666404,6.285800529068792,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
19,4,-8.047077949285061,-12.415764659228419,-4.368686709943358,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
20,4,-5.61551343237105,-12.413898036605701,-6.798384604234651,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
21,4,-14.112270724573929,-17.844535026793015,-3.732264302219086,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
22,4,-8.801665429745151,0.7091259568487179,9.51079138659387,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
23,4,-3.670840697147177,4.770558215754913,8.44139891290209,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
24,4,-14.83173695526148,-18.178578356568526,-3.3468414013070458,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
25,4,0.9199086614811005,-6.2373155935665245,-7.157224255047625,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
26,4,-4.381441677332422,-1.815416305086,2.566025372246422,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
27,4,-15.034515002530874,-4.52366208120519,10.510852921325684,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
28,4,-5.916837769544317,2.93043598482905,8.847273754373367,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
29,4,-3.8715191728214853,-0.38546653952312326,3.486052633298362,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
0,0,-5.265176752370912,-2.1138283109467966,3.151348441424115,batch,4096,1024,hamming,IP1,Laplace,50,0,1000,40,0.96,mix
1,0,-9.144143319088634,-8.677423411763234,0.46671990732540003,batch,4096,1024,hamming,IP1,Laplace,50,0,1000,40,0.96,mix
2,0,-11.563906450307568,-5.85244977122088,5.711456679086688,batch,4096,1024,hamming,IP1,Laplace,50,0,1000,40,0.96,mix
3,0,-3.4188532694885723,2.6359311867810598,6.054784456269632,batch,4096,1024,hamming,IP1,Laplace,50,0,1000,40,0.96,mix
4,0,-2.915948713645772,1.3268781500135007,4.242826863659273,batch,4096,1024,hamming,IP1,Laplace,50,0,1000,40,0.96,mix
5,0,-9.318551145143317,-5.888485400558303,3.430065744585014,batch,4096,1024,hamming,IP1,Laplace,50,0,1000,40,0.96,mix
6,0,-4.65978437953519,-0.020332950261174636,4.639451429274016,batch,4096,1024,hamming,IP1,Laplace,50,0,1000,40,0.96,mix
7,0,-3.9220954945007866,0.1173040257789866,4.0393995202797734,batch,4096,1024,hamming,IP1,Laplace,50,0,1000,40,0.96,mix
8,0,-3.9763980547108386,-0.27603444585011316,3.7003636088607257,batch,4096,1024,hamming,IP1,Laplace,50,0,1000,40,0.96,mix
9,0,-3.851343068289511,-5.394398473639105,-1.5430554053495937,batch,4096,1024,hamming,IP1,Laplace,50,0,1000,40,0.96,mix
10,0,-5.169429830366113,-4.7799667330500695,0.38946309731604334,batch,4096,1024,hamming,IP1,Laplace,50,0,1000,40,0.96,mix
11,0,-10.679535879580168,-5.917053740964365,4.762482138615804,batch,4096,1024,hamming,IP1,Laplace,50,0,1000,40,0.96,mix
12,0,-9.091608301908359,-4.603194991933516,4.488413309974843,batch,4096,1024,hamming,IP1,Laplace,50,0,1000,40,0.96,mix
13,0,-0.7212552887771823,-2.944407785033473,-2.2231524962562905,batch,4096,1024,hamming,IP1,Laplace,50,0,1000,40,0.96,mix
14,0,-2.9241436247696626,-0.19141674347043203,2.7327268812992305,batch,4096,1024,hamming,IP1,Laplace,50,0,1000,40,0.96,mix
15,0,-2.641674904403869,-0.11368142389224999,2.5279934805116193,batch,4096,1024,hamming,IP1,Laplace,50,0,1000,40,0.96,mix
16,0,-9.007597625250053,-0.42082216564658037,8.586775459603473,batch,4096,1024,hamming,IP1,Laplace,50,0,1000,40,0.96,mix
17,0,-2.9853544683260314,3.644245871868434,6.629600340194465,batch,4096,1024,hamming,IP1,Laplace,50,0,1000,40,0.96,mix
18,0,-6.413524208110205,1.0051217493851068,7.418645957495312,batch,4096,1024,hamming,IP1,Laplace,50,0,1000,40,0.96,mix
19,0,-6.460592172095385,0.7795295126111719,7.240121684706557,batch,4096,1024,hamming,IP1,Laplace,50,0,1000,40,0.96,mix
20,0,-2.530160943301028,4.023827989358986,6.553988932660014,batch,4096,1024,hamming,IP1,Laplace,50,0,1000,40,0.96,mix
